"brewery","beer_name","abv","country","style"
"8Wired","Superconductor DIPA",8.9,"New Zealand","Imperial / Double IPA"
"8Wired","Hopwired IPA",7.3,"New Zealand","American IPA"
"8Wired","Tall Poppy Red",7,"New Zealand","American Amber / Red Ale"
"8Wired","iStout Imperial Stout",10,"New Zealand","Russian Imperial Stout"
"8Wired","Mighty Imperial Ale",10,"New Zealand","Imperial Pale Ale"
"8Wired","Semiconductor Session IPA",4.4,"New Zealand","American IPA"
"8Wired","Bumaye",16,"New Zealand","American Imperial / Double Stout"
"8Wired","Sæson",7,"New Zealand","Saison / Farmhouse Ale"
"8Wired","Grand Cru 2011",11,"New Zealand","Belgian Quad"
"Adnams","Southwold Bitter",4.1,"Great Britain","English Bitter"
"Adnams","Broadside (Premium Bitter)",6.3,"Great Britain","English Bitter"
"Adnams","Explorer (East Coast Blonde Beer)",5,"Great Britain","Blonde Ale"
"Adnams","Ghost Ship PA",4.5,"Great Britain","English Pale Ale"
"Adnams","Gunhill",4,"Great Britain","English Mild Ale"
"Adnams","Innovation IPA",6.7,"Great Britain","American IPA"
"Belgian Specialty","Leffe Blonde",6.5,"Belgium*","Belgian Blonde / Golden"
"Belgian Specialty","Leffe Brun",6.5,"Belgium*","Belgian Brown Ale"
"Belgian Specialty","Stella Artois",5,"Belgium*","Euro Lager"
"Belgian Specialty","Hoegaarden",4.8,"Belgium*","Witbier"
"Black Dog","Golden Lab  (Golden Ale)",4.8,"New Zealand","Golden Ale"
"Black Dog","Chomp (NZ Pale Ale)",4.75,"New Zealand","New Zealand Pale Ale"
"Black Dog","Clifford (Red IPA)",6.5,"New Zealand","American Amber / Red Ale"
"Black Dog","Unleashed Citra (APA)",6.25,"New Zealand","New Zealand Pale Ale"
"Black Dog","Pango Kuri (American style Stout)",6.2,"New Zealand","American Stout"
"Black Dog","Bite (Pilsner)",5.5,"New Zealand","Pilsner"
"Boundary Road Brewery","Einstein Munich Lager",5.3,"New Zealand","Helles Lager"
"Boundary Road Brewery","Red Baron Red Ale",5.6,"New Zealand","American Amber / Red Ale"
"Boundary Road Brewery","18th Amendment APA",6,"New Zealand","American Pale Ale"
"Boundary Road Brewery","Stolen Base Double IPA",8,"New Zealand","Imperial / Double IPA"
"Boundary Road Brewery","Jack The Sipper London Porter",5.6,"New Zealand","Porter"
"Boundary Road Brewery","Arabica Dabra Coffee Oat Stout",6.5,"New Zealand","Oatmeal Stout"
"Brewdog","Punk IPA",5.6,"Great Britain","American IPA"
"Brewdog","Hardcore",9.2,"Great Britain","Imperial / Double IPA"
"Brewdog","5am Saint",5,"Great Britain","American Amber / Red Ale"
"Deep Creek","Dweller on the Threshold",7.3,"New Zealand","Scotch Ale / Wee Heavy"
"Deep Creek",309,5,"New Zealand","New Zealand Pale Ale"
"Deep Creek","Dominatrix",7.8,"New Zealand","Imperial / Double IPA"
"Emerson's","Pilsner",4.9,"New Zealand","Pilsner"
"Emerson's","Bookbinder",3.7,"New Zealand","English Bitter"
"Emerson's","London Porter",4.9,"New Zealand","English Porter"
"Emerson's","Regional W & S/ EBC Collaboration brew",4.5,"New Zealand",
"Emerson's","Brewer's Reserve Bald Eagle",7,"New Zealand",
"Emerson's","Brewer's Reserve White Tail",6,"New Zealand",
"Emerson's","Brewer's Reserve  Jack of all Trades",4.5,"New Zealand",
"Emerson's","Brewer's Reserve Clean Sweep",5.2,"New Zealand","American Pale Ale"
"Emerson's","Dunkel",4.9,"New Zealand","Dunkelweizen"
"Emerson's","Bird Dog IPA",6.5,"New Zealand","American Pale Ale"
"Emerson's","Taieri George Spice Ale",6.8,"New Zealand","Herbed/Spiced Beer"
"Emerson's","JP 2013 Belgian dark ale",8,"New Zealand","Belgian Tripel"
"Epic","Epicurean Coffee & Fig Stout 2013",8,"New Zealand","Imperial Oatmeal Stout"
"Epic","Comet IPA",6.3,"New Zealand",
"Epic","Armageddon IPA",6.7,"New Zealand","American IPA"
"Epic","Lager",5,"New Zealand","Pale Lager"
"Epic","Hop Zombie",8.5,"New Zealand","Imperial / Double IPA"
"Epic","Pale Ale",5.4,"New Zealand","American Pale Ale"
"Fork & Brewer","Base Isolator (APA)",6.3,"New Zealand","American Pale Ale"
"Fork & Brewer","Bohemian Hipster (Pilsner)",5,"New Zealand","Pilsner"
"Fork & Brewer","Stormchaser (Dunkelweizen)",4.4,"New Zealand","Dunkelweizen"
"Founders","1903 Red Ale",5,"New Zealand","American Amber / Red Ale"
"Founders","1946 Pilsner",5.5,"New Zealand",
"Founders","1854 Porter",5.2,"New Zealand",
"Founders","1981 Pale Ale",2.2,"New Zealand","New Zealand Pale Ale"
"Founders","2009 IPA",5.3,"New Zealand","Imperial Pale Ale"
"Founders","1921 Stout",5.5,"New Zealand",
"Garage Project","Red Rocks Reserve 2013",7,"New Zealand","American Amber / Red Ale"
"Garage Project","Death From Above",7.5,"New Zealand","American IPA"
"Garage Project","Barrel-aged Cherry Bomb",9,"New Zealand","Imperial / Double Porter"
"Garage Project","Smoke & Mirrors",6.2,"New Zealand","Bock"
"Garage Project","Sauvin Nouveau",7.8,"New Zealand","Pilsner"
"Garage Project","Cockswain's Extraordinary Ordinary",3.4,"New Zealand","English Bitter"
"Garage Project","Spezial K",5.1,"New Zealand","Kellerbier / Zwickelbier"
"Garage Project Workshop","Hot Buttered Bastard Rye",13,"New Zealand","Blonde Ale"
"Garage Project Workshop","Fire Poker Blended Cockswain's Courage Porter",10.5,"New Zealand","Imperial / Double Porter"
"Garage Project Workshop","Straight Edge",0,"New Zealand",
"Good George","Belgian Dubbel",7.5,"New Zealand","Belgian Dubbel"
"Good George","Sparkling Ale",4.5,"New Zealand","Australian Sparkling Ale"
"Good George","Amber Ale",3.7,"New Zealand","English Bitter"
"Good George","IPA",5.8,"New Zealand","English IPA"
"Good George","Drop Hop Cider",5,"New Zealand","Cider"
"Good George","Almost Imperial American IPA",7.5,"New Zealand","American IPA"
"Hancock & Co","Colonial Wheat Ale",4.9,"New Zealand","Hefeweizen"
"Hancock & Co","Grand Pale Ale",4.8,"New Zealand","American Pale Ale"
"Hancock & Co","Cardinal Red Ale",4.4,"New Zealand","American Amber / Red Ale"
"Hancock & Co","Bismarck Brown Ale",4.8,"New Zealand","American Brown Ale"
"Harrington's","The Pig & Whistle Mild Dark Ale",4,"New Zealand","Dark Ale"
"Harrington's","Brewers' Selection Strong Pilsner (Anvil)",6.5,"New Zealand",
"Harrington's","Brewers' Selection Belgium Abbey Tripel",8.8,"New Zealand",
"Harrington's","Brewers' Selection Imperial APA",9.5,"New Zealand",
"Harrington's","The Rogue Hop Organic Pilsner",5,"New Zealand","Pilsner"
"Harrington's","Brewers' Selection IPA",6.5,"New Zealand",
"Harrington's","Brewers' Selection Baltic Porter",8.5,"New Zealand",
"Harrington's","The Classy Red Extra Special Bitter",5.2,"New Zealand","Extra Special/Strong Bitter"
"Harrington's","The Wobbly Boot Porter",5,"New Zealand","Porter"
"Harrington's","Brewers' Selection Weizenbock",8.5,"New Zealand",
"James Squire","Four Wives (Pilsner)",5,"Australia","Czech Pilsener"
"James Squire","150 Lashes (PA)",4.7,"Australia","Australian Pale Ale"
"James Squire","Chancer (Golden Ale)",4.5,"Australia","Golden Ale"
"James Squire","Nine Tales (Amber Ale)",5,"Australia","American Amber / Red Ale"
"James Squire","Orchard Crush (Cloudy Apple Cider)",4.8,"Australia","Cider"
"Kereru","Silverstream Pale Ale",3.8,"New Zealand","New Zealand Pale Ale"
"Kereru","Hop To It Pale Ale",5.9,"New Zealand","New Zealand Pale Ale"
